Variable index;Variable type;Variable ID;Variable name;Variable data;Upper bound;Lower bound;Max;Min
154;FORWARD_FLUX;rxn05298_c0;rxn05298_c0;cpd00971_e0[e] + cpd00023_e0[e] <=> cpd00023_c0 + cpd00971_c0;1000;0;1000;0
155;REVERSE_FLUX;rxn05298_c0;rxn05298_c0;cpd00971_e0[e] + cpd00023_e0[e] <=> cpd00023_c0 + cpd00971_c0;1000;0;1000;0
156;FLUX;rxn08336_c0;rxn08336_c0;cpd15500_c0 + cpd00282_c0 => cpd15499_c0 + cpd00247_c0;1000;0;0.0106925;0
157;FORWARD_FLUX;rxn05401_c0;rxn05401_c0;cpd00067_c0 + cpd00005_c0 + cpd11537_c0 <=> cpd00006_c0 + cpd11538_c0;1000;0;0.0044006;0.00044006
158;REVERSE_FLUX;rxn05401_c0;rxn05401_c0;cpd00067_c0 + cpd00005_c0 + cpd11537_c0 <=> cpd00006_c0 + cpd11538_c0;1000;0;0;0
159;FORWARD_FLUX;rxn02264_c0;rxn02264_c0;cpd00755_c0 <=> cpd00001_c0 + cpd00774_c0;1000;0;0.000319926;3.19926e-05
160;REVERSE_FLUX;rxn02264_c0;rxn02264_c0;cpd00755_c0 <=> cpd00001_c0 + cpd00774_c0;1000;0;0;0
161;FORWARD_FLUX;rxn09202_c0;rxn09202_c0;2 cpd00067_c0 + cpd15557_c0 <=> cpd00011_c0 + cpd15533_c0;1000;0;0.000550076;5.50076e-05
162;REVERSE_FLUX;rxn09202_c0;rxn09202_c0;2 cpd00067_c0 + cpd15557_c0 <=> cpd00011_c0 + cpd15533_c0;1000;0;0;0
163;FORWARD_FLUX;rxn02687_c0;rxn02687_c0;cpd00003_c0 + cpd01357_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd01447_c0;1000;0;0;0
164;REVERSE_FLUX;rxn02687_c0;rxn02687_c0;cpd00003_c0 + cpd01357_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd01447_c0;1000;0;0;0
165;FORWARD_FLUX;rxn00097_c0;rxn00097_c0;cpd00002_c0 + cpd00067_c0 + cpd00018_c0 <=> 2 cpd00008_c0;1000;0;1000;0
166;REVERSE_FLUX;rxn00097_c0;rxn00097_c0;cpd00002_c0 + cpd00067_c0 + cpd00018_c0 <=> 2 cpd00008_c0;1000;0;0.0628456;0
167;FLUX;rxn01217_c0;rxn01217_c0;cpd00067_c0 + cpd00001_c0 + cpd00206_c0 => cpd00013_c0 + cpd00299_c0;1000;0;0.000948846;0
168;FLUX;rxn02212_c0;rxn02212_c0;cpd02857_c0 => cpd00009_c0 + cpd00699_c0;1000;0;0.165398;0.00176148
169;FORWARD_FLUX;rxn07670_c0;rxn07670_c0;cpd00192_c0 + cpd05630_c0 <=> cpd00010_c0 + cpd15065_c0;1000;0;0;0
170;REVERSE_FLUX;rxn07670_c0;rxn07670_c0;cpd00192_c0 + cpd05630_c0 <=> cpd00010_c0 + cpd15065_c0;1000;0;0;0
171;FORWARD_FLUX;rxn03535_c0;rxn03535_c0;cpd00002_c0 + cpd00067_c0 + cpd03915_c0 <=> cpd00421_c0 + cpd03916_c0;1000;0;0;0
172;REVERSE_FLUX;rxn03535_c0;rxn03535_c0;cpd00002_c0 + cpd00067_c0 + cpd03915_c0 <=> cpd00421_c0 + cpd03916_c0;1000;0;0;0
173;FORWARD_FLUX;rxn00692_c0;rxn00692_c0;cpd00001_c0 + cpd00033_c0 + cpd00125_c0 <=> cpd00054_c0 + cpd00087_c0;1000;0;0;0
174;REVERSE_FLUX;rxn00692_c0;rxn00692_c0;cpd00001_c0 + cpd00033_c0 + cpd00125_c0 <=> cpd00054_c0 + cpd00087_c0;1000;0;0.608204;0.032341
175;FORWARD_FLUX;rxn00802_c0;rxn00802_c0;cpd02152_c0 <=> cpd00106_c0 + cpd00051_c0;1000;0;999.931;0.00127443
176;REVERSE_FLUX;rxn00802_c0;rxn00802_c0;cpd02152_c0 <=> cpd00106_c0 + cpd00051_c0;1000;0;0;0
177;FLUX;rxn00926_c0;rxn00926_c0;cpd00067_c0 + cpd00001_c0 + cpd00128_c0 => cpd00013_c0 + cpd00226_c0;1000;0;0.00850143;0.000850143
178;FLUX;rxn10230_c0;rxn10230_c0;cpd00054_c0 + cpd15687_c0 => cpd00046_c0 + 2 cpd00067_c0 + cpd15693_c0;1000;0;0;0
179;FLUX;rxn01997_c0;rxn01997_c0;cpd00626_c0 => cpd00001_c0 + cpd00521_c0;1000;0;0.00129204;0.000129204
180;FORWARD_FLUX;rxn08521_c0;rxn08521_c0;2 cpd00067_c0 + cpd00004_c0 + cpd00220_c0 <=> cpd00003_c0 + cpd00739_c0;1000;0;0;0
181;REVERSE_FLUX;rxn08521_c0;rxn08521_c0;2 cpd00067_c0 + cpd00004_c0 + cpd00220_c0 <=> cpd00003_c0 + cpd00739_c0;1000;0;0;0
