VarName;VarType;VarCompartment;VarMin;VarMax
rxn06937_c0;FLUX;c;0.00025594;0.0025594
rxn01637_c0;FORWARD_FLUX;c;0;0
rxn01637_c0;REVERSE_FLUX;c;0.00130642;0.362259
rxn03095_c0;FORWARD_FLUX;c;0;0
rxn03095_c0;REVERSE_FLUX;c;0;0
rxn02639_c0;FORWARD_FLUX;c;0;0
rxn02639_c0;REVERSE_FLUX;c;0;0
rxn01269_c0;FLUX;c;0;0.00623413
rxn00747_c0;FORWARD_FLUX;c;0.00603743;0.169674
rxn00747_c0;REVERSE_FLUX;c;0;0
rxn00830_c0;FORWARD_FLUX;c;0.000177193;0.00177193
rxn00830_c0;REVERSE_FLUX;c;0;0
rxn10113_c0;FLUX;c;0;1.53659
rxn03406_c0;FLUX;c;0;0
rxn00029_c0;FLUX;c;0.00012797;0.0012797
rxn00609_c0;FORWARD_FLUX;c;0;0
rxn00609_c0;REVERSE_FLUX;c;0;0
rxn07734_c0;FORWARD_FLUX;c;0;0
rxn07734_c0;REVERSE_FLUX;c;0;0
rxn12646_c0;FORWARD_FLUX;c;0;0
rxn12646_c0;REVERSE_FLUX;c;0;0
rxn02175_c0;FORWARD_FLUX;c;3.19926e-05;0.000319926
rxn02175_c0;REVERSE_FLUX;c;0;0
rxn00245_c0;FLUX;c;0;0
rxn02835_c0;FORWARD_FLUX;c;0.000409474;0.00409474
rxn02835_c0;REVERSE_FLUX;c;0;0
rxn04385_c0;FLUX;c;0;0
rxn01675_c0;FORWARD_FLUX;c;0.000129204;0.00129204
rxn01675_c0;REVERSE_FLUX;c;0;0
rxn01575_c0;FORWARD_FLUX;c;0;0
rxn01575_c0;REVERSE_FLUX;c;0.00124913;0.0124913
rxn01454_c0;REVERSE_FLUX;c;0.00180516;0.0180516
rxn05150_c0;FLUX;c;0;1000
rxn00555_c0;FORWARD_FLUX;c;0.000516817;0.00516817
rxn00555_c0;REVERSE_FLUX;c;0;0
rxn03282_c0;FORWARD_FLUX;c;0;0
rxn03282_c0;REVERSE_FLUX;c;0;0
rxn03435_c0;FORWARD_FLUX;c;0;0
rxn03435_c0;REVERSE_FLUX;c;0.00168919;0.0168919
rxn03080_c0;FORWARD_FLUX;c;6.39851e-05;0.000639851
rxn03080_c0;REVERSE_FLUX;c;0;0
rxn10237_c0;FORWARD_FLUX;c;0;0
rxn10237_c0;REVERSE_FLUX;c;0;0
rxn01044_c0;FORWARD_FLUX;c;0;0
rxn01044_c0;REVERSE_FLUX;c;0;0
rxn12644_c0;FORWARD_FLUX;c;0;0
rxn12644_c0;REVERSE_FLUX;c;0;0
rxn00147_c0;FLUX;c;0;1000
rxn06404_c0;FORWARD_FLUX;c;0;0
rxn06404_c0;REVERSE_FLUX;c;0;0
rxn04723_c0;FORWARD_FLUX;c;0;0
rxn04723_c0;REVERSE_FLUX;c;0;0
rxn00213_c0;FORWARD_FLUX;c;0.000516817;0.00516817
rxn00213_c0;REVERSE_FLUX;c;0;0
rxn01629_c0;FORWARD_FLUX;c;0;0
rxn01629_c0;REVERSE_FLUX;c;0.00025594;0.0025594
rxn00777_c0;FORWARD_FLUX;c;0;0
rxn00777_c0;REVERSE_FLUX;c;0.00371819;601.48
rxn13784_c0;FLUX;c;0.00516598;0.0516598
rxn01740_c0;FORWARD_FLUX;c;0;0
rxn01740_c0;REVERSE_FLUX;c;0.00176148;0.165398
rxn05533_c0;FLUX;c;0;0
rxn10123_c0;FLUX;c;0;1.53659
rxn02728_c0;FORWARD_FLUX;c;0;0
rxn02728_c0;REVERSE_FLUX;c;0;0
rxn00927_c0;FORWARD_FLUX;c;0.000850143;601.478
rxn00927_c0;REVERSE_FLUX;c;0;0
rxn00251_c0;FORWARD_FLUX;c;0;999.973
rxn00251_c0;REVERSE_FLUX;c;0;1000
rxn00139_c0;REVERSE_FLUX;c;0;601.477
rxn00920_c0;FORWARD_FLUX;c;0;0
rxn00920_c0;REVERSE_FLUX;c;0;0
rxn00790_c0;REVERSE_FLUX;c;0.00162617;0.0162617
rxn00237_c0;FORWARD_FLUX;c;0.00288578;1000
rxn00237_c0;REVERSE_FLUX;c;0;0
rxn03540_c0;FORWARD_FLUX;c;0;0
rxn03540_c0;REVERSE_FLUX;c;0;0
rxn08311_c0;FORWARD_FLUX;c;5.50076e-05;0.000550076
rxn08311_c0;REVERSE_FLUX;c;0;0
rxn03175_c0;FORWARD_FLUX;c;0.000409474;0.00409474
rxn03175_c0;REVERSE_FLUX;c;0;0
rxn10264_c0;FORWARD_FLUX;c;0;0
rxn10264_c0;REVERSE_FLUX;c;0;0
rxn10124_c0;FORWARD_FLUX;c;0;0
rxn10124_c0;REVERSE_FLUX;c;3.19926e-05;719.483
rxn03421_c0;FORWARD_FLUX;c;0;0.000479888
rxn03421_c0;REVERSE_FLUX;c;0;0
rxn10227_c0;FLUX;c;5.50076e-05;0.000550076
rxn05336_c0;FORWARD_FLUX;c;0;0
rxn05336_c0;REVERSE_FLUX;c;0;0
rxn09210_c0;FLUX;c;5.50076e-05;0.000550076
rxn01717_c0;FORWARD_FLUX;c;0;0
rxn01717_c0;REVERSE_FLUX;c;0;0
rxn00532_c0;FORWARD_FLUX;c;0;0
rxn00532_c0;REVERSE_FLUX;c;0;0
rxn05172_c0;FLUX;c;0;0
rxn04052_c0;FORWARD_FLUX;c;0;0
rxn04052_c0;REVERSE_FLUX;c;0;0
rxn07622_c0;FORWARD_FLUX;c;0;0
rxn07622_c0;REVERSE_FLUX;c;0;0
rxn12850_c0;FLUX;c;0;0
rxn00126_c0;FLUX;c;0.000866139;601.478
rxn12844_c0;FORWARD_FLUX;c;0;0
rxn12844_c0;REVERSE_FLUX;c;0;0
rxn06905_c0;FORWARD_FLUX;c;0;0
rxn06905_c0;REVERSE_FLUX;c;0;0
rxn08306_c0;FORWARD_FLUX;c;0;0
rxn08306_c0;REVERSE_FLUX;c;0;0
rxn06178_c0;FORWARD_FLUX;c;0;0
rxn06178_c0;REVERSE_FLUX;c;0;0
rxn00206_c0;FLUX;c;0;0
rxn11755_c0;FORWARD_FLUX;c;0;0
rxn11755_c0;REVERSE_FLUX;c;0;0
rxn05340_c0;FORWARD_FLUX;c;0;0
rxn05340_c0;REVERSE_FLUX;c;0;0
rxn00299_c0;FLUX;c;0;0.000479888
rxn05389_c0;FORWARD_FLUX;c;0.00044006;0.0044006
rxn05389_c0;REVERSE_FLUX;c;0;0
rxn01132_c0;FORWARD_FLUX;c;0;0
rxn01132_c0;REVERSE_FLUX;c;0;0
rxn04737_c0;FORWARD_FLUX;c;0;0
rxn04737_c0;REVERSE_FLUX;c;0;0
rxn02379_c0;FORWARD_FLUX;c;0;0
rxn02379_c0;REVERSE_FLUX;c;0;0
rxn05735_c0;FLUX;c;0;0
rxn03921_c0;FORWARD_FLUX;c;0;0
rxn03921_c0;REVERSE_FLUX;c;0;0
rxn00904_c0;FORWARD_FLUX;c;0.0026463;0.026463
rxn00904_c0;REVERSE_FLUX;c;0;0
